"name","address","city","zip","state","country","phone","email","website","openingHours","lat","lng","accuracy","error"
"ZACHARY`S","375 ELM ST","NEW HAVEN","6511","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06511","","41.3119208","'-72.9333419","User provided",""
"ORCHARD WINE & LIQUOR","150 Henry St","NEW HAVEN","6511","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06511","","41.320727","'-72.9359489","User provided",""
"Maple Mini Mart","18-19 Maple St","ANSONIA","6401","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06401","","41.3457012","'-73.0804619","User provided",""
"MONROE STORE","172 Main St","MONROE","6468","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06468","","41.3054182","'-73.2551224","User provided",""
"JP Grocery & Deli II LLC","234 Palisade Avenue","BRIDGEPORT","6610","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06610","","41.196584","'-73.1654081","User provided",""
"Julias Market LLC","949 Boston Post Rd","WEST HAVEN","6516","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06516","","41.285267","'-72.978","User provided",""
"Exit 6 Valero","84 North St","DANBURY","6810","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06810","","41.408329","'-73.455298","User provided",""
"NEW HAVEN UNION NEWS INC","50 UNION AVE","NEW HAVEN","6519","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06519","","41.2975912","'-72.9267052","User provided",""
"M & M DISCOUNT LIQUORS","80 Wolcott St","BRISTOL","6010","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06010","","41.6651472","'-72.9480276","User provided",""
"Sharon Xtra Mart","17 Gay Street","SHARON","6069","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06069","","41.88426","'-73.468822","User provided",""
"AASHIRWAD PETROLEUM INC","2980 Main St","STRATFORD","6614","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06614","","41.2010984","'-73.1312611","User provided",""
"Super Stop & Shop #2604","931 Torringford St","TORRINGTON","6790","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06790","","41.8193934","'-73.0818305","User provided",""
"C-TOWN SUPERMARKET","47 Main St","NEW BRITAIN","6051","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06051","","41.6653189","'-72.780527","User provided",""
"WINSTED SUPER SAVER INC","372 MAIN ST","WINSTED","6098","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06098","","41.9210237","'-73.0706757","User provided",""
"Monroe Smoke Shop","181 Main St","MONROE","6468","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06468","","41.3073065","'-73.2562097","User provided",""
"Stop & Go Food Mart","294 S Main St","MIDDLETOWN","6457","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06457","","41.5482466","'-72.6505956","User provided",""
"FOOD BAG #524","953 HOPE ST","STAMFORD","6907","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06907","","41.091386","'-73.5180629","User provided",""
"TOWN & COUNTRY LIQUORS LLC","696 Amity Rd","BETHANY","6524","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06524","","41.437299","'-72.9909519","User provided",""
"WEST STREET WINES & SPIRITS","131 WEST ST","SIMSBURY","6070","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06070","","41.8699451","'-72.8163919","User provided",""
"CORNER GROCERY LLC","195 LLOYD ST","NEW HAVEN","6513","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06513","","41.30715","'-72.900511","User provided",""
"7-Eleven Store #39381A","247 Main St","NORWALK","6851","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06851","","41.1310316","'-73.4234764","User provided",""
"Stateline Stationery","215 Mill St","GREENWICH","6830","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06830","","41.0036851","'-73.6573716","User provided",""
"Robert Mini Market","1018 Sylvan Avenue","BRIDGEPORT","6606","CT","USA","","","http://www.ctlottery.org/Modules/Directory/06606","","41.2157902","'-73.1871563","User provided",""
